"","variable_name","units","generalType","isXY","isID","variable_link","isTime","isCatch","isEffort","isCPUE","isLon","isLat","isValue","isZoneArea","isPort","isPrice","isTrip","isHaul","isOther","tableLink"
"1","DATE_FISHING_BEGAN","yyyymmdd","Time",0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2","DATE_LANDED","yyyymmdd","Time",0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"3","DISEMBARKED_PORT_Code",NA,NA,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,NA
"4","DISEMBARKED_PORT",NA,NA,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,NA
"5","DURATION_IN_MIN","min","Time",0,0,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,NA
"6","EMBARKED_PORT_Code",NA,NA,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,NA
"7","EMBARKED_PORT",NA,NA,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,NA
"8","FISHING_DEPTH_FATHOMS","fathoms","Other Numeric",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"9","FISHING_HOURS_LOST_TRIP_HOURS","numeric",NA,1,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"10","FISHING_START_DATE","yyyymmdd","Time",0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"11","FT_CFEC_VALUE_DOLLARS","dollars","Other Numeric",0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,NA
"12","FT_CFEC_WHOLE_POUNDS","lbs",NA,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
"13","FT_INSEASON_AMOUNT_LBS","lbs","Other Numeric",0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
"14","FT_LANDING_ID_Code",NA,"Code",0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"15","FT_LANDING_ID",NA,"Code",0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"16","GEAR_TYPE_Code",NA,"Code String",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"17","GEAR_TYPE",NA,"Code String",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"18","GF_TARGET_FT_Code",NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
