"","Port_Name","Port_ID","Port_Long","Port_Lat","Port_Notes"
"1","Seattle","SEA",-122.217,47.7,NA
"2","Seldovia","SEL",-151.7,59.433,NA
"3","Seward","SEW",-149.45,60.117,NA
"4","Sitka","SIT",-135.333,57.05,NA
"5","Skagway","SKG",-135.3,59.45,NA
"6","Soldotna","SOL",-151.05,60.483,NA
"7","Sand Point","SPT",-160.5,55.333,NA
"8","St George","STG",-169.542,56.6,NA
"9","St Mary","STM",-163.166,62.053,NA
"10","St Paul","STP",-170.275,57.122,NA
"11","Selawik","SWK",-160,66.6,NA
"12","Tacoma","TAC",-122.443,47.253,NA
"13","Tenakee Springs","TEN",-135.217,57.767,NA
"14","Togiak","TOG",-160.4,59.067,NA
"15","Toksook Bay","TSK",-165.103,60.53,NA
"16","Ugashik","UGA",-157.383,57.5,NA
"17","Unalakleet","UNA",-160.783,63.867,NA
"18","Valdez","VAL",-146.267,61.117,NA
"19","Whittier","WHT",-148.683,60.767,NA
"20","Moser Bay","MOS",-154.24944,57.04889,NA
"21","Wrangell","WRN",-132.367,56.467,NA
"22","Excursion Inlet","XIP",-135.433,58.417,NA
"23","Yakutat","YAK",-139.733,59.55,NA
"24","Other","Other",NA,NA,NA
"25","Transfer at Sea",NA,NA,NA,NA
"26","Anacortes","ANA",-122.611,48.513,NA
"27","Astoria","AST",-123.83,46.188,NA
"28","Blaine","BLA",-122.746,48.994,NA
"29","Clarks Point","CPT",-158.551,58.844,NA
"30","La Conner","LAC",-122.495,48.389,NA
"31","Lazy Bay","LZB",-154.245,56.894,NA
"32","Nelson Island","NEL",-152.413,57.893,NA
"33","Newport","NPT",-124.052,44.637,NA
"34","Nulato","NUL",-158.1,64.717,NA
"35","Olympia","OLY",-122.899,47.038,NA
"36","Portland","POR",-122.675,45.524,NA
"37","South Naknek","SNK",-156.998,58.716,NA
"38","Tok","TOK",-142.983,63.333,NA
"39","Vancouver","VAN",-122.66,45.639,NA
"40","Wasilla","WAS",-149.433,61.567,NA
"41","Eureka","EUR",-124.27361,41.33944,NA
"42","Everett","EVT",-122.33556,48.64222,NA
"43","Catcher/Processor","FCP",NA,NA,NA
"44","Floating bait seller at sea","FLB",NA,NA,NA
"45","Mothership","FLD",NA,NA,NA
"46","Glacier Bay","GLB",-135.88333,58.45,NA
"47","Goodnews Bay","GNB",-161.98278,59.20389,NA
"48","Halibut Cove","HBC",-151.39639,60.00417,NA
